iter	Passed	Remaining
0	72	72200
1	78	38967
2	83	27691
3	90	22547
4	98	19530
5	105	17516
6	113	16154
7	121	15094
8	130	14421
9	138	13718
10	146	13165
11	154	12728
12	162	12318
13	170	11997
14	177	11688
15	185	11396
16	193	11200
17	201	10993
18	210	10877
19	219	10735
20	226	10575
21	234	10419
22	241	10275
23	249	10159
24	257	10044
25	265	9942
26	273	9857
27	281	9758
28	289	9686
29	297	9604
30	304	9530
31	313	9469
32	320	9393
33	327	9316
34	335	9252
35	342	9180
36	350	9118
37	357	9059
38	365	9008
39	373	8969
40	382	8936
41	390	8913
42	398	8862
43	405	8817
44	414	8789
45	422	8755
46	429	8717
47	437	8685
48	446	8657
49	453	8621
50	461	8580
51	469	8555
52	476	8517
53	485	8497
54	492	8466
55	500	8435
56	508	8407
57	515	8374
58	523	8356
59	532	8341
60	540	8319
61	548	8301
62	556	8280
63	564	8258
64	572	8231
65	579	8200
66	587	8186
67	596	8171
68	603	8148
69	611	8118
70	619	8101
71	627	8084
72	634	8060
73	643	8050
74	651	8032
75	660	8025
76	668	8009
77	675	7987
78	683	7967
79	690	7943
80	698	7923
81	707	7923
82	716	7917
83	724	7903
84	730	7868
85	738	7849
86	746	7832
87	754	7818
88	762	7802
89	770	7787
90	778	7772
91	786	7763
92	795	7756
93	803	7748
94	812	7739
95	820	7722
96	827	7704
97	834	7685
98	842	7671
99	850	7656
100	858	7637
101	866	7624
102	874	7615
103	883	7611
104	892	7610
105	900	7597
106	908	7579
107	916	7566
108	923	7548
109	931	7533
110	939	7525
111	947	7515
112	956	7505
113	963	7491
114	971	7478
115	979	7464
116	987	7450
117	996	7451
118	1005	7444
119	1013	7431
120	1021	7419
121	1028	7404
122	1036	7390
123	1044	7381
124	1053	7377
125	1062	7367
126	1070	7355
127	1077	7343
128	1086	7335
129	1095	7328
130	1102	7316
131	1110	7302
132	1118	7290
133	1125	7274
134	1133	7261
135	1141	7249
136	1148	7234
137	1156	7224
138	1163	7209
139	1171	7197
140	1180	7190
141	1189	7186
142	1196	7173
143	1204	7161
144	1212	7150
145	1220	7138
146	1228	7131
147	1237	7126
148	1247	7125
149	1256	7119
150	1264	7109
151	1272	7099
152	1280	7087
153	1288	7079
154	1295	7060
155	1303	7054
156	1311	7042
157	1319	7032
158	1327	7019
159	1334	7005
160	1342	6994
161	1350	6984
162	1358	6973
163	1366	6964
164	1373	6953
165	1381	6942
166	1390	6937
167	1398	6927
168	1407	6920
169	1417	6920
170	1426	6914
171	1434	6907
172	1442	6896
173	1450	6883
174	1457	6870
175	1465	6859
176	1473	6850
177	1480	6838
178	1488	6826
179	1495	6814
180	1504	6806
181	1512	6796
182	1520	6787
183	1527	6775
184	1535	6766
185	1543	6756
186	1551	6746
187	1559	6736
188	1567	6725
189	1574	6713
190	1582	6703
191	1590	6694
192	1599	6686
193	1606	6674
194	1614	6663
195	1621	6652
196	1629	6644
197	1637	6634
198	1646	6625
199	1654	6618
200	1662	6607
201	1670	6597
202	1677	6585
203	1685	6575
204	1692	6565
205	1700	6554
206	1708	6545
207	1716	6534
208	1723	6524
209	1731	6514
210	1739	6503
211	1747	6494
212	1755	6486
213	1763	6478
214	1771	6466
215	1779	6458
216	1787	6450
217	1796	6442
218	1803	6431
219	1811	6421
220	1818	6409
221	1826	6401
222	1834	6393
223	1842	6382
224	1849	6372
225	1857	6362
226	1866	6354
227	1874	6346
228	1882	6336
229	1890	6327
230	1898	6319
231	1906	6310
232	1914	6302
233	1922	6292
234	1930	6284
235	1939	6277
236	1947	6270
237	1955	6262
238	1964	6253
239	1972	6245
240	1979	6234
241	1987	6225
242	1995	6215
243	2003	6206
244	2011	6197
245	2018	6187
246	2026	6178
247	2035	6171
248	2043	6162
249	2051	6153
250	2058	6143
251	2066	6135
252	2075	6128
253	2084	6121
254	2092	6113
255	2100	6104
256	2108	6095
257	2115	6084
258	2123	6075
259	2131	6065
260	2139	6057
261	2146	6047
262	2154	6038
263	2163	6030
264	2171	6021
265	2179	6013
266	2187	6004
267	2195	5997
268	2204	5990
269	2212	5981
270	2219	5970
271	2227	5961
272	2235	5952
273	2243	5945
274	2252	5939
275	2261	5932
276	2269	5924
277	2277	5915
278	2285	5905
279	2293	5896
280	2300	5887
281	2308	5878
282	2316	5868
283	2323	5858
284	2331	5849
285	2339	5840
286	2346	5830
287	2354	5821
288	2362	5812
289	2371	5805
290	2379	5796
291	2386	5786
292	2395	5779
293	2402	5769
294	2410	5760
295	2417	5750
296	2426	5744
297	2435	5737
298	2443	5728
299	2451	5719
300	2458	5709
301	2466	5700
302	2474	5691
303	2481	5681
304	2489	5672
305	2496	5663
306	2504	5653
307	2512	5644
308	2519	5635
309	2527	5626
310	2535	5617
311	2543	5608
312	2551	5599
313	2559	5592
314	2567	5583
315	2576	5576
316	2584	5567
317	2592	5559
318	2600	5551
319	2609	5545
320	2619	5540
321	2628	5533
322	2636	5525
323	2644	5516
324	2652	5508
325	2659	5499
326	2667	5490
327	2675	5480
328	2683	5472
329	2691	5463
330	2698	5455
331	2707	5446
332	2715	5438
333	2723	5430
334	2731	5421
335	2738	5412
336	2751	5413
337	2782	5449
338	2793	5447
339	2804	5444
340	2814	5439
341	2824	5434
342	2833	5427
343	2844	5425
344	2868	5445
345	2885	5453
346	2900	5457
347	2912	5457
348	2921	5449
349	2929	5440
350	2937	5430
351	2944	5420
352	2952	5411
353	2961	5403
354	2969	5396
355	2977	5385
356	2985	5376
357	2993	5367
358	3000	5357
359	3008	5348
360	3016	5339
361	3024	5329
362	3032	5320
363	3040	5312
364	3048	5302
365	3055	5293
366	3062	5282
367	3071	5274
368	3079	5265
369	3087	5256
370	3094	5246
371	3102	5237
372	3110	5228
373	3118	5219
374	3126	5210
375	3133	5200
376	3141	5190
377	3148	5181
378	3156	5171
379	3164	5162
380	3172	5153
381	3180	5144
382	3187	5135
383	3195	5125
384	3202	5116
385	3210	5107
386	3218	5097
387	3225	5088
388	3233	5079
389	3242	5070
390	3249	5061
391	3257	5052
392	3265	5044
393	3273	5035
394	3282	5027
395	3290	5018
396	3298	5009
397	3305	5000
398	3314	4991
399	3322	4984
400	3331	4975
401	3338	4966
402	3346	4957
403	3355	4949
404	3362	4940
405	3370	4930
406	3377	4921
407	3385	4912
408	3393	4903
409	3401	4894
410	3408	4884
411	3416	4876
412	3424	4866
413	3432	4858
414	3440	4849
415	3448	4840
416	3456	4831
417	3463	4822
418	3473	4815
419	3481	4807
420	3489	4799
421	3497	4790
422	3506	4782
423	3514	4774
424	3522	4766
425	3531	4758
426	3540	4750
427	3547	4741
428	3555	4732
429	3563	4724
430	3571	4715
431	3579	4706
432	3588	4698
433	3596	4689
434	3603	4681
435	3611	4672
436	3619	4663
437	3628	4655
438	3636	4647
439	3645	4639
440	3652	4630
441	3661	4621
442	3669	4614
443	3678	4606
444	3686	4597
445	3693	4588
446	3701	4579
447	3709	4571
448	3718	4562
449	3726	4554
450	3734	4546
451	3743	4538
452	3751	4529
453	3758	4520
454	3767	4512
455	3776	4505
456	3783	4495
457	3791	4486
458	3799	4478
459	3808	4470
460	3817	4463
461	3826	4456
462	3835	4448
463	3844	4440
464	3852	4432
465	3861	4424
466	3870	4417
467	3878	4409
468	3887	4401
469	3895	4393
470	3903	4384
471	3910	4375
472	3918	4365
473	3926	4356
474	3934	4348
475	3942	4340
476	3951	4332
477	3959	4324
478	3968	4316
479	3975	4307
480	3983	4298
481	3992	4290
482	4001	4282
483	4009	4274
484	4017	4265
485	4025	4257
486	4033	4248
487	4041	4239
488	4048	4231
489	4056	4221
490	4064	4213
491	4072	4204
492	4079	4195
493	4087	4186
494	4095	4178
495	4102	4168
496	4110	4160
497	4119	4152
498	4126	4143
499	4134	4134
500	4142	4126
501	4151	4118
502	4159	4109
503	4167	4101
504	4176	4094
505	4185	4085
506	4193	4078
507	4202	4070
508	4211	4062
509	4219	4053
510	4226	4044
511	4234	4036
512	4242	4027
513	4249	4018
514	4257	4009
515	4265	4001
516	4273	3992
517	4281	3983
518	4289	3975
519	4297	3967
520	4305	3958
521	4313	3949
522	4321	3941
523	4329	3932
524	4337	3924
525	4346	3916
526	4355	3908
527	4363	3900
528	4371	3891
529	4379	3883
530	4387	3875
531	4395	3866
532	4403	3857
533	4410	3848
534	4418	3840
535	4426	3832
536	4434	3823
537	4441	3814
